Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
202,1781587273983,3204,3204,3204,3204,3204,3204,3204,3204,45,36.842105865478516,25,26.3157901763916,38.095237731933594,40,20,5,6.660450458526611,8589934592,3221225472,6757941248,2252734464
200,1781587274186,3204,3204,3204,3204,3204,3204,3204,3204,19.047618865966797,23.809524536132813,20,9.523809432983398,21.052631378173828,38.095237731933594,5,0,6.660450458526611,8589934592,3221225472,6745260032,2252734464
203,1781587274388,3204,3204,3204,3204,3204,3204,3204,3204,15.789472579956055,10.526315689086914,10,5.263157844543457,20,5,0,0,5.785708904266357,8589934592,3221225472,6741327872,2252734464
201,1781587274592,3204,3204,3204,3204,3204,3204,3204,3204,22.72727394104004,14.285715103149414,14.285715103149414,9.523809432983398,30.000001907348633,0,9.523809432983398,9.090909004211426,5.785708904266357,8589934592,3221225472,6736723968,2252734464
204,1781587274794,3204,3204,3204,3204,3204,3204,3204,3204,20,19.047618865966797,15.000000953674316,10,4.761904716491699,0,0,0,5.785708904266357,8589934592,3221225472,6736707584,2252734464
203,1781587274999,3204,3204,3204,3204,3204,3204,3204,3204,40,31.57894515991211,30.000001907348633,23.809524536132813,10,9.090909004211426,0,0,5.785708904266357,8589934592,3221225472,6731186176,2252734464
204,1781587275203,3204,3204,3204,3204,3204,3204,3204,3204,20,19.047618865966797,15.000000953674316,15.000000953674316,0,0,0,0,5.785708904266357,8589934592,3221225472,6724435968,2252734464
204,1781587275408,3204,3204,3204,3204,3204,3204,3204,3204,15.789472579956055,20,15.000000953674316,14.285715103149414,0,0,0,0,5.475777626037598,8589934592,3221225472,6725304320,2252734464
203,1781587275613,3204,3204,3204,3204,3204,3204,3204,3204,19.047618865966797,15.000000953674316,14.285715103149414,10,0,0,0,0,5.475777626037598,8589934592,3221225472,6725304320,2252734464
204,1781587275817,3204,3204,3204,3204,3204,3204,3204,3204,15.000000953674316,27.272727966308594,10,0,25,10,0,0,5.475777626037598,8589934592,3221225472,6706839552,2252734464
